gc_orgID,name,harmonized_name
3702,2010 games operating trust society,2010 Games Operating Trust Society
2222,aac,Agriculture and Agri-Food Canada
2222,aafc,Agriculture and Agri-Food Canada
2222,aafc-aac,Agriculture and Agri-Food Canada
2230,aandc-aadnc,Crown-Indigenous Relations and Northern Affairs Canada
3599,aboriginal business,Aboriginal Business Canada
3518,aboriginal healing foundation,Aboriginal Healing Foundation
2239,acc,Veterans Affairs Canada
2319,accessibility standards,Accessibility Standards Canada
2319,accessibility standards normes accessibilite,Accessibility Standards Canada
2259,acfc,Financial Consumer Agency of Canada
2259,acfc-fcac.gc.ca,Financial Consumer Agency of Canada
2306,acia,Canadian Food Inspection Agency
2244,aco,Atlantic Canada Opportunities Agency
2244,acoa,Atlantic Canada Opportunities Agency
2244,acoa-apeca,Atlantic Canada Opportunities Agency
2244,acoa-apeca.gc.ca,Atlantic Canada Opportunities Agency
3655,acsta-catsa.gc.ca,Canadian Air Transport Security Authority
3467,administration aeroport international halifax,Halifax International Airport Authority
3482,administration aeroport international ottawa,Ottawa International Airport Authority
3510,administration aeroport vancouver,Vancouver International Airport Authority
3441,administration aeroportuaire calgary,Calgary Airport Authority
3655,administration canadienne surete transport aerien,Canadian Air Transport Security Authority
3654,administration pilotage atlantique,Atlantic Pilotage Authority
3656,administration pilotage grands lacs,Great Lakes Pilotage Authority
3657,administration pilotage laurentides,Laurentian Pilotage Authority
3659,administration pilotage pacifique,Pacific Pilotage Authority
3659,administration pilotage pacifique pacific pilotage authority,Pacific Pilotage Authority
2268,administration pipe-line nord,Northern Pipeline Agency Canada
3665,administration pont blue water,Blue Water Bridge Authority
3439,administration portuaire belledune,Belledune Port Authority
3468,administration portuaire halifax,Halifax Port Authority
3469,administration portuaire hamilton,Hamilton Port Authority
3477,administration portuaire montreal,Montréal Port Authority
3478,administration portuaire nanaimo,Nanaimo Port Authority
3481,administration portuaire oshawa,Oshawa Port Authority
3486,administration portuaire port alberni,Port Alberni Port Authority
3489,administration portuaire prince rupert,Prince Rupert Port Authority
3490,administration portuaire quebec,Québec Port Authority
3493,administration portuaire saguenay,Saguenay Port Authority
3495,administration portuaire saint john,Saint John Port Authority
3497,administration portuaire sept-iles,Sept-Îles Port Authority
3500,administration portuaire st. john s,St. John’s Port Authority
3504,administration portuaire thunder bay,Thunder Bay Port Authority
3506,administration portuaire toronto,Toronto Port Authority
3507,administration portuaire trois-rivieres,Trois-Rivières Port Authority
3509,administration portuaire vancouver fraser,Vancouver Fraser Port Authority
3514,administration portuaire windsor,Windsor Port Authority
3419,administration retablissement agricole prairies,Prairie Farm Rehabilitation Administration
2297,administrative tribunals support service,Administrative Tribunals Support Service of Canada
2297,administrative tribunals support service service canadien appui tribunaux administratifs,Administrative Tribunals Support Service of Canada
3703,aec,Canada Water Agency
3649,aecl.ca,Atomic Energy of Canada Limited
2245,aeic,Impact Assessment Agency of Canada
2245,aeic-iaac.gc.ca,Impact Assessment Agency of Canada
3435,aeroport quebec,Aéroport de Québec Inc.
3436,aeroports montreal,Aéroports de Montréal
3574,affaires intergouvernementales,Intergovernmental Affairs
2227,affaires mondiales,Global Affairs Canada
2227,affaires mondiales global affairs,Global Affairs Canada
3399,african development bank,African Development Bank
3664,agence canadienne controle procreation assistee,Assisted Human Reproduction Agency of Canada
2249,agence canadienne developpement economique nord,Canadian Northern Economic Development Agency
